,entity,to_search,snippet,address,coordinates,name_location,class,type
53,Staatsoper,Staatsoper,"[""...Il Teatro dell'opera di Amburgo è la Staatsoper...."", ""*...Hanno sede molte orchestre famose, fra cui in particolare l'Orchestra Filarmonica (l'orchestra della Staatsoper), l'Orchestra sinfonica della NDR e gli Hamburger Symphoniker....""]","Staatsoper, 43, Gänsemarkt, Neustadt, Hamburg-Mitte, Amburgo, 20354, Germania","{""coordinates"": [9.987953, 53.555886], ""type"": ""Point""}","Staatsoper, 43, Gänsemarkt, Neustadt, Hamburg-Mitte, Amburgo, 20354, Germania",railway,subway_entrance
54,Operettenhaus,Operettenhaus,"[""...V'è poi la Operettenhaus specializzata nell'operetta....""]","Stage Operettenhaus, 1, Spielbudenplatz, St. Pauli, Hamburg-Mitte, Amburgo, 20359, Germania","{""coordinates"": [9.967075, 53.549502], ""type"": ""Point""}","Stage Operettenhaus, 1, Spielbudenplatz, St. Pauli, Hamburg-Mitte, Amburgo, 20359, Germania",amenity,theatre
55,Deutsches Schauspielhaus,Deutsches Schauspielhaus,"['*...Deutsches Schauspielhaus;...', ""...I principali teatri di prosa sono la Deutsches Schauspielhaus, la più grande sala teatrale tedesca, il prestigioso Thalia-Theater, l'Ohnsorg-Theater, lo Schmidts Tivoli e il Kampnagel....""]","Deutsches Schauspielhaus, 39, Kirchenallee, St. Georg, Hamburg-Mitte, Amburgo, 20099, Germania","{""coordinates"": [10.00896, 53.554481], ""type"": ""Point""}","Deutsches Schauspielhaus, 39, Kirchenallee, St. Georg, Hamburg-Mitte, Amburgo, 20099, Germania",amenity,theatre
56,Schmidts Tivoli,Schmidts Tivoli,"[""...I principali teatri di prosa sono la Deutsches Schauspielhaus, la più grande sala teatrale tedesca, il prestigioso Thalia-Theater, l'Ohnsorg-Theater, lo Schmidts Tivoli e il Kampnagel....""]","Schmidts TIVOLI, 27-28, Spielbudenplatz, St. Pauli, Hamburg-Mitte, Amburgo, 20359, Germania","{""coordinates"": [9.963342, 53.549127], ""type"": ""Point""}","Schmidts TIVOLI, 27-28, Spielbudenplatz, St. Pauli, Hamburg-Mitte, Amburgo, 20359, Germania",amenity,theatre
57,Kampnagel,Kampnagel,"[""...I principali teatri di prosa sono la Deutsches Schauspielhaus, la più grande sala teatrale tedesca, il prestigioso Thalia-Theater, l'Ohnsorg-Theater, lo Schmidts Tivoli e il Kampnagel....""]","Kampnagel, 20, Jarrestraße, Jarrestadt, Winterhude, Hamburg-Nord, Amburgo, 22303, Germania","{""coordinates"": [10.022172, 53.583301], ""type"": ""Point""}","Kampnagel, 20, Jarrestraße, Jarrestadt, Winterhude, Hamburg-Nord, Amburgo, 22303, Germania",amenity,theatre
58,Theater im Zimmer,Theater im Zimmer,['*...Theater im Zimmer ;...'],"Theater im Zimmer, 30, Alsterchaussee, Harvestehude, Eimsbüttel, Amburgo, 20149, Germania","{""coordinates"": [9.997047, 53.573384], ""type"": ""Point""}","Theater im Zimmer, 30, Alsterchaussee, Harvestehude, Eimsbüttel, Amburgo, 20149, Germania",amenity,theatre
59,Neue Flora,Neue Flora,['*...Neue Flora ;...'],"Neue Flora, Alsenstraße, Altona-Nord, Altona, Amburgo, 22769, Germania","{""coordinates"": [9.950301, 53.562623], ""type"": ""Point""}","Neue Flora, Alsenstraße, Altona-Nord, Altona, Amburgo, 22769, Germania",amenity,theatre
60,St. Pauli Theater,St. Pauli Theater,['*...St. Pauli Theater ;...'],"St. Pauli Theater, 29-30, Spielbudenplatz, St. Pauli, Hamburg-Mitte, Amburgo, 20359, Germania","{""coordinates"": [9.962988, 53.549101], ""type"": ""Point""}","St. Pauli Theater, 29-30, Spielbudenplatz, St. Pauli, Hamburg-Mitte, Amburgo, 20359, Germania",amenity,theatre
62,Musikhalle,Musikhalle,"[""*...La nuova Elbphilharmonie è la sala da concerto dell'Orchestra sinfonica della NDR, mentre i Symphoniker si esibiscono nella vecchia Musikhalle, oggi chiamata Laeiszhalle....""]","Kleiner Saal, Dammtorwall, Neustadt, Hamburg-Mitte, Amburgo, 20355, Germania","{""coordinates"": [9.981437, 53.55629], ""type"": ""Point""}","Kleiner Saal, Dammtorwall, Neustadt, Hamburg-Mitte, Amburgo, 20355, Germania",amenity,theatre
63,Laeiszhalle,Laeiszhalle,"[""*...La nuova Elbphilharmonie è la sala da concerto dell'Orchestra sinfonica della NDR, mentre i Symphoniker si esibiscono nella vecchia Musikhalle, oggi chiamata Laeiszhalle....""]","Laeiszhalle Musikhalle Hamburg, Dammtorwall, Neustadt, Hamburg-Mitte, Amburgo, 20355, Germania","{""coordinates"": [9.981077, 53.556097], ""type"": ""Point""}","Laeiszhalle Musikhalle Hamburg, Dammtorwall, Neustadt, Hamburg-Mitte, Amburgo, 20355, Germania",amenity,arts_centre
69,Hamburg Stadtpark,Hamburg Stadtpark,"[""...Altri due importanti parchi sono l'Hamburg Stadtpark, che contiene al suo interno l'osservatorio della città, e l'Altser Park...."", ""*...Nel rugby, lo stadio della squadra cittadina, l'Hamburger Rugby Club, si trova nella Saarlandstraße, nella parte nord-orientale dell'Hamburg Stadtpark....""]","Stadtpark-Verein Hamburg e. V., 3, Otto-Wels-Straße, Jarrestadt, Winterhude, Hamburg-Nord, Amburgo, 22303, Germania","{""coordinates"": [10.013836, 53.598195], ""type"": ""Point""}","Stadtpark-Verein Hamburg e. V., 3, Otto-Wels-Straße, Jarrestadt, Winterhude, Hamburg-Nord, Amburgo, 22303, Germania",office,association
71,Altes Land,Altes Land,"[""*...La gastronomia di Amburgo è un'unione di diverse varianti della cucina tedesca del nord, riunendo dentro di se gli ingredienti tipici della zona come la frutta delle Altes Land e il pesce pescato nel fiume Elba....""]","Obststand Altes Land, Paul-Nevermann-Platz, Altona-Nord, Altona, Amburgo, 22765, Germania","{""coordinates"": [9.933891, 53.551653], ""type"": ""Point""}","Obststand Altes Land, Paul-Nevermann-Platz, Altona-Nord, Altona, Amburgo, 22765, Germania",shop,greengrocer
72,Amburgo Centrale,Amburgo Centrale,['*...Amburgo Centrale ;...'],"Stazione centrale di Amburgo, Nordsteg, St. Georg, Hamburg-Mitte, Amburgo, 20099, Germania","{""coordinates"": [10.006436, 53.553199], ""type"": ""Point""}","Stazione centrale di Amburgo, Nordsteg, St. Georg, Hamburg-Mitte, Amburgo, 20099, Germania",railway,station
