,entity,to_search,snippet,address,coordinates,name_location,class,type
25,Grant Park,Grant Park,['*...La mattina del 9 ottobre circa 70 donne appartenenti ai Weatherman si incontrarono al Grant Park per stabilire il da farsi....'],"Grant Park South Garage (Exit), Printer's Row, Loop, Chicago, Cook County, Illinois, 60604, Stati Uniti d'America","{""coordinates"": [-87.624312, 41.877488], ""type"": ""Point""}","Grant Park South Garage (Exit), Printer's Row, Loop, Chicago, Cook County, Illinois, 60604, Stati Uniti d'America",highway,service
27,The Loop,The Loop,"['...Soprannominata ""Windy City"" e ""Second City"", il centro della città (denominato ""the Loop"") è dominato da imponenti grattacieli che arrivano anche ai 104 piani (per un\'altezza di ) della Willis Tower....', '...Circa 300 manifestanti si dirigono verso il The Loop, quartiere finanziario di Chicago, dove ad attenderli ci sono già centinaia di poliziotti armati ed in tenuta anti sommossa....']","DePaul University (the Loop Campus), East Jackson Boulevard, Printer's Row, Loop, Chicago, Cook County, Illinois, 60604, Stati Uniti d'America","{""coordinates"": [-87.626431, 41.877787], ""type"": ""Point""}","DePaul University (the Loop Campus), East Jackson Boulevard, Printer's Row, Loop, Chicago, Cook County, Illinois, 60604, Stati Uniti d'America",amenity,university
28,Lincoln Park Zoo,Lincoln Park Zoo,"['*...Lincoln Park Zoo ;...', ""...Egli creò il Lincoln Park chiudendo un Cimitero pieno di tombe poco profonde e, nel 1867, in risposta allo scoppio di un'epidemia di colera contribuì a creare un nuovo Consiglio di salute di Chicago...."", '*...Alcuni discorsi vennero tenuti a Lincoln Park, e John Jonson disse che:...']","Lincoln Park Zoo, 2001, North Clark Street, Belgravia Terrace, Lincoln Park, Chicago, Cook County, Illinois, 60614, Stati Uniti d'America","{""coordinates"": [-87.63377, 41.921265], ""type"": ""Point""}","Lincoln Park Zoo, 2001, North Clark Street, Belgravia Terrace, Lincoln Park, Chicago, Cook County, Illinois, 60614, Stati Uniti d'America",tourism,zoo
30,Shedd Aquarium,Shedd Aquarium,['*...Shedd Aquarium ;...'],"Shedd Aquarium, Lakefront Trail, South Loop, Near South Side, Chicago, Cook County, Illinois, 60605, Stati Uniti d'America","{""coordinates"": [-87.61532, 41.867241], ""type"": ""Point""}","Shedd Aquarium, Lakefront Trail, South Loop, Near South Side, Chicago, Cook County, Illinois, 60605, Stati Uniti d'America",amenity,bicycle_rental
33,Marina City,Marina City,"['*...Gli stessi Wilco inoltre hanno usato nel 2002, come copertina del loro disco simbolo Yankee Hotel Foxtrot, una foto del complesso urbano della Marina City....']","Marina City, North State Street, River North, Near North Side, Chicago, Cook County, Illinois, 60602, Stati Uniti d'America","{""coordinates"": [-87.628806, 41.887859], ""type"": ""Point""}","Marina City, North State Street, River North, Near North Side, Chicago, Cook County, Illinois, 60602, Stati Uniti d'America",leisure,marina
36,Aon Center,Aon Center,['*...Aon Center ;...'],"Aon Center, 200, East Randolph Street, New East Side, Loop, Chicago, Cook County, Illinois, 60601, Stati Uniti d'America","{""coordinates"": [-87.621515, 41.885286], ""type"": ""Point""}","Aon Center, 200, East Randolph Street, New East Side, Loop, Chicago, Cook County, Illinois, 60601, Stati Uniti d'America",building,office
38,Monadnock Building,Monadnock Building,['*...Monadnock Building ;...'],"Monadnock Building, 53, West Jackson Boulevard, Printer's Row, Loop, Chicago, Cook County, Illinois, 60604, Stati Uniti d'America","{""coordinates"": [-87.629552, 41.877529], ""type"": ""Point""}","Monadnock Building, 53, West Jackson Boulevard, Printer's Row, Loop, Chicago, Cook County, Illinois, 60604, Stati Uniti d'America",historic,building
39,Two Prudential Plaza,Two Prudential Plaza,['*...Two Prudential Plaza ;...'],"Two Prudential Plaza, 180, North Stetson Avenue, New East Side, Loop, Chicago, Cook County, Illinois, 60601, Stati Uniti d'America","{""coordinates"": [-87.622679, 41.885528], ""type"": ""Point""}","Two Prudential Plaza, 180, North Stetson Avenue, New East Side, Loop, Chicago, Cook County, Illinois, 60601, Stati Uniti d'America",building,office
40,311 S. Wacker Dr.,311 S. Wacker Dr.,['*...311 S. Wacker Dr....'],"311 South Wacker Drive, 311, South Wacker Drive, Printer's Row, Loop, Chicago, Cook County, Illinois, 60606, Stati Uniti d'America","{""coordinates"": [-87.635911, 41.877451], ""type"": ""Point""}","311 South Wacker Drive, 311, South Wacker Drive, Printer's Row, Loop, Chicago, Cook County, Illinois, 60606, Stati Uniti d'America",building,commercial
41,900,900,['...900 N. Michigan Ave....'],"Aster Hall, 900, North Michigan Avenue, Magnificent Mile, Near North Side, Chicago, Cook County, Illinois, 60611, Stati Uniti d'America","{""coordinates"": [-87.625264, 41.899726], ""type"": ""Point""}","Aster Hall, 900, North Michigan Avenue, Magnificent Mile, Near North Side, Chicago, Cook County, Illinois, 60611, Stati Uniti d'America",amenity,food_court
42,Michigan Ave,Michigan Ave,['*...900 N. Michigan Ave....'],"Michigan Avenue, 400, North Michigan Avenue, Michigan Ave, Near North Side, Chicago, Cook County, Illinois, 60611, Stati Uniti d'America","{""coordinates"": [-87.625233, 41.889265], ""type"": ""Point""}","Michigan Avenue, 400, North Michigan Avenue, Michigan Ave, Near North Side, Chicago, Cook County, Illinois, 60611, Stati Uniti d'America",amenity,ferry_terminal
43,Water Tower Place,Water Tower Place,['*...Water Tower Place ;...'],"Water Tower Place, 835, North Michigan Avenue, Magnificent Mile, Near North Side, Chicago, Cook County, Illinois, 60611, Stati Uniti d'America","{""coordinates"": [-87.622352, 41.897865], ""type"": ""Point""}","Water Tower Place, 835, North Michigan Avenue, Magnificent Mile, Near North Side, Chicago, Cook County, Illinois, 60611, Stati Uniti d'America",building,apartments
44,Chase Tower,Chase Tower,['*...Chase Tower ;...'],"Chase Tower, 10, South Dearborn Street, Printer's Row, Loop, Chicago, Cook County, Illinois, 60603, Stati Uniti d'America","{""coordinates"": [-87.630122, 41.881608], ""type"": ""Point""}","Chase Tower, 10, South Dearborn Street, Printer's Row, Loop, Chicago, Cook County, Illinois, 60603, Stati Uniti d'America",building,office
45,Three First National Plaza,Three First National Plaza,['*...Three First National Plaza ;...'],"Three First National Plaza, 70, West Madison Street, Loop, Chicago, Cook County, Illinois, 60602, Stati Uniti d'America","{""coordinates"": [-87.63003, 41.882445], ""type"": ""Point""}","Three First National Plaza, 70, West Madison Street, Loop, Chicago, Cook County, Illinois, 60602, Stati Uniti d'America",building,office
47,Olympia Centre,Olympia Centre,['*...Olympia Centre ;...'],"Olympia Centre, 161, East Chicago Avenue, Magnificent Mile, Near North Side, Chicago, Cook County, Illinois, 60611, Stati Uniti d'America","{""coordinates"": [-87.623359, 41.896224], ""type"": ""Point""}","Olympia Centre, 161, East Chicago Avenue, Magnificent Mile, Near North Side, Chicago, Cook County, Illinois, 60611, Stati Uniti d'America",building,apartments
48,330 North Wabash,330 North Wabash,['*...330 North Wabash (già IBM Plaza) ;...'],"330 North Wabash, 330, North Wabash Avenue, River North, Near North Side, Chicago, Cook County, Illinois, 60611, Stati Uniti d'America","{""coordinates"": [-87.627589, 41.888653], ""type"": ""Point""}","330 North Wabash, 330, North Wabash Avenue, River North, Near North Side, Chicago, Cook County, Illinois, 60611, Stati Uniti d'America",building,office
49,111 S. Wacker Dr.,111 S. Wacker Dr.,['*...111 S. Wacker Dr....'],"111 South Wacker, 111, South Wacker Drive, Printer's Row, Loop, Chicago, Cook County, Illinois, 60606, Stati Uniti d'America","{""coordinates"": [-87.636335, 41.880286], ""type"": ""Point""}","111 South Wacker, 111, South Wacker Drive, Printer's Row, Loop, Chicago, Cook County, Illinois, 60606, Stati Uniti d'America",building,commercial
50,One Magnificent Mile,One Magnificent Mile,['*...One Magnificent Mile ;...'],"One Magnificent Mile, 940-980, North Michigan Avenue, Magnificent Mile, Near North Side, Chicago, Cook County, Illinois, 60611, Stati Uniti d'America","{""coordinates"": [-87.624574, 41.900394], ""type"": ""Point""}","One Magnificent Mile, 940-980, North Michigan Avenue, Magnificent Mile, Near North Side, Chicago, Cook County, Illinois, 60611, Stati Uniti d'America",building,apartments
51,77 West Wacker Drive,77 West Wacker Drive,['*...77 West Wacker Drive (già Donnelley Building) ;...'],"77 West Wacker, 77, Pedway, Loop, Chicago, Cook County, Illinois, 60601, Stati Uniti d'America","{""coordinates"": [-87.630538, 41.886593], ""type"": ""Point""}","77 West Wacker, 77, Pedway, Loop, Chicago, Cook County, Illinois, 60601, Stati Uniti d'America",building,office
54,Soldier Field,Soldier Field,['*...I Chicago Bears (NFL - football americano) giocano al Soldier Field;...'],"Soldier Field, 425, East McFetridge Drive, South Loop, Near South Side, Chicago, Cook County, Illinois, 60605, Stati Uniti d'America","{""coordinates"": [-87.616715, 41.862451], ""type"": ""Point""}","Soldier Field, 425, East McFetridge Drive, South Loop, Near South Side, Chicago, Cook County, Illinois, 60605, Stati Uniti d'America",leisure,stadium
55,United Center,United Center,"['*...United Center ;...', '*...I Chicago Bulls (NBA - basket) giocano allo United Center;...', '*...I Chicago Blackhawks (NHL - hockey su ghiaccio) giocano allo United Center;...']","United Center, 1901, West Madison Street, Near West Side, Chicago, Cook County, Illinois, 60612, Stati Uniti d'America","{""coordinates"": [-87.674185, 41.880683], ""type"": ""Point""}","United Center, 1901, West Madison Street, Near West Side, Chicago, Cook County, Illinois, 60612, Stati Uniti d'America",leisure,stadium
56,Wrigley Field,Wrigley Field,['*...I Chicago Cubs (MLB - baseball) giocano al Wrigley Field e i Chicago White Sox (MLB - baseball) giocano al Guaranteed Rate Field;...'],"Wrigley Field, 1060, West Addison Street, Wrigleyville, Lake View, Chicago, Lake View Township, Cook County, Illinois, 60613, Stati Uniti d'America","{""coordinates"": [-87.656352, 41.948135], ""type"": ""Point""}","Wrigley Field, 1060, West Addison Street, Wrigleyville, Lake View, Chicago, Lake View Township, Cook County, Illinois, 60613, Stati Uniti d'America",leisure,stadium
57,Guaranteed Rate Field,Guaranteed Rate Field,['*...I Chicago Cubs (MLB - baseball) giocano al Wrigley Field e i Chicago White Sox (MLB - baseball) giocano al Guaranteed Rate Field;...'],"Guaranteed Rate Field, 333, West 35th Street, Armour Square, Chicago, Cook County, Illinois, 60616, Stati Uniti d'America","{""coordinates"": [-87.632563, 41.830016], ""type"": ""Point""}","Guaranteed Rate Field, 333, West 35th Street, Armour Square, Chicago, Cook County, Illinois, 60616, Stati Uniti d'America",leisure,stadium
