,entity,to_search,snippet,address,coordinates,name_location,class,type
18,Kopli,Kopli,"['*...Kopli, Paljassaare e Kakumäe....']","Kopli, Kalamaja, Põhja-Tallinna linnaosa, Tallinn, Harju maakond, 10414, Estonia","{""coordinates"": [24.739192, 59.441344], ""type"": ""Point""}","Kopli, Kalamaja, Põhja-Tallinna linnaosa, Tallinn, Harju maakond, 10414, Estonia",highway,tertiary
19,Kakumäe,Kakumäe,"['*...Kopli, Paljassaare e Kakumäe....']","Kakumäe, Kakumäe tee, Kakumäe, Haabersti linnaosa, Tallinn, Harju maakond, 76924, Estonia","{""coordinates"": [24.573168, 59.459144], ""type"": ""Point""}","Kakumäe, Kakumäe tee, Kakumäe, Haabersti linnaosa, Tallinn, Harju maakond, 76924, Estonia",highway,bus_stop
31,Domberg,Domberg,"['*...Toompea (Domberg) o ""Collina della Cattedrale"", col suo castello medievale da sempre sede dell\'autorità. Prima i vescovi, poi l\'Ordine teutonico, infine la nobiltà della Germania baltica; oggi si trovano sulla Collina gli edifici del governo estone, come molte ambasciate e rappresentanze diplomatiche....']","Domberg, 1, Piiskopi, Vanalinn, Kesklinna linnaosa, Tallinn, Harju maakond, 10130, Estonia","{""coordinates"": [24.739557, 59.436228], ""type"": ""Point""}","Domberg, 1, Piiskopi, Vanalinn, Kesklinna linnaosa, Tallinn, Harju maakond, 10130, Estonia",amenity,restaurant
41,Piazza Vabaduse,Piazza Vabaduse,"['*...Chiesa di San Giovanni, è una Chiesa parrocchiale neogotica della Chiesa di Estonia ed è situata in Piazza Vabaduse o della Libertà ;...']","Piazza della Libertà, Vanalinn, Kesklinna linnaosa, Tallinn, Harju maakond, Estonia","{""coordinates"": [24.743957, 59.433698], ""type"": ""Point""}","Piazza della Libertà, Vanalinn, Kesklinna linnaosa, Tallinn, Harju maakond, Estonia",highway,pedestrian
43,Piazza della Libertà,Piazza della Libertà,"[""*...Colonna della Vittoria dell'Indipendenza dell'Estonia, in Piazza della Libertà (Tallinn) ;..."", '*...Chiesa di San Giovanni, è una Chiesa parrocchiale neogotica della Chiesa di Estonia ed è situata in Piazza Vabaduse o della Libertà ;...']","Piazza della Libertà, Vanalinn, Kesklinna linnaosa, Tallinn, Harju maakond, Estonia","{""coordinates"": [24.743957, 59.433698], ""type"": ""Point""}","Piazza della Libertà, Vanalinn, Kesklinna linnaosa, Tallinn, Harju maakond, Estonia",highway,pedestrian
44,de Kök,de Kök,['*...Kiek in de Kök ;...'],"Kiek in de Kök, 2, Komandandi tee, Vanalinn, Kesklinna linnaosa, Tallinn, Harju maakond, 10130, Estonia","{""coordinates"": [24.741267, 59.434703], ""type"": ""Point""}","Kiek in de Kök, 2, Komandandi tee, Vanalinn, Kesklinna linnaosa, Tallinn, Harju maakond, 10130, Estonia",tourism,attraction
47,Scandinavia,Scandinavia,"[""*...Da notare l'integrazione con la vicina Finlandia, e la Scandinavia operante in un vasto spettro di settori, dalle attività portuali all'industria delle telecomunicazioni....""]","Scandinavia Tapeedisalong, 66, Pärnu mnt, Uus Maailm, Kesklinna linnaosa, Tallinn, Harju maakond, 10131, Estonia","{""coordinates"": [24.742125, 59.425232], ""type"": ""Point""}","Scandinavia Tapeedisalong, 66, Pärnu mnt, Uus Maailm, Kesklinna linnaosa, Tallinn, Harju maakond, 10131, Estonia",shop,interior_decoration
48,Aeroporto Lennart Meri,Aeroporto Lennart Meri,"[""*...Tallinn è servita da un Aeroporto, l'Aeroporto Lennart Meri, a circa 4\xa0km dal centro cittadino....""]","Lennart Meri Tallinna lennujaam, 101, Tartu mnt, Ülemistejärve, Kesklinna linnaosa, Tallinn, Harju maakond, 11101, Estonia","{""coordinates"": [24.801087, 59.41645], ""type"": ""Point""}","Lennart Meri Tallinna lennujaam, 101, Tartu mnt, Ülemistejärve, Kesklinna linnaosa, Tallinn, Harju maakond, 11101, Estonia",aeroway,terminal
52,Tartu,Tartu,"['*...La compagnia ferrovia Edelaraudtee effettua servizi regionali dalla stazione di Tallinn a Tartu, Valga, Türi, Viljandi, Tapa, Narva, Orava, e Pärnu....']","Tartu mnt, Kompassi, Kesklinna linnaosa, Tallinn, Harju maakond, 10117, Estonia","{""coordinates"": [24.760157, 59.434539], ""type"": ""Point""}","Tartu mnt, Kompassi, Kesklinna linnaosa, Tallinn, Harju maakond, 10117, Estonia",highway,residential
54,Türi,Türi,"['*...La compagnia ferrovia Edelaraudtee effettua servizi regionali dalla stazione di Tallinn a Tartu, Valga, Türi, Viljandi, Tapa, Narva, Orava, e Pärnu....']","Türi, Kitseküla, Kesklinna linnaosa, Tallinn, Harju maakond, 11313, Estonia","{""coordinates"": [24.742642, 59.410262], ""type"": ""Point""}","Türi, Kitseküla, Kesklinna linnaosa, Tallinn, Harju maakond, 11313, Estonia",highway,residential
55,Tapa,Tapa,"['*...La compagnia ferrovia Edelaraudtee effettua servizi regionali dalla stazione di Tallinn a Tartu, Valga, Türi, Viljandi, Tapa, Narva, Orava, e Pärnu....']","Tapa teerist, Tallinn — Narva, Loobu küla, Kadrina vald, Lääne-Viru maakond, 45220, Estonia","{""coordinates"": [25.943534, 59.45503], ""type"": ""Point""}","Tapa teerist, Tallinn — Narva, Loobu küla, Kadrina vald, Lääne-Viru maakond, 45220, Estonia",highway,bus_stop
56,Narva,Narva,"['*...La compagnia ferrovia Edelaraudtee effettua servizi regionali dalla stazione di Tallinn a Tartu, Valga, Türi, Viljandi, Tapa, Narva, Orava, e Pärnu....']","Narva mnt, Südalinn, Kesklinna linnaosa, Tallinn, Harju maakond, 10111, Estonia","{""coordinates"": [24.754599, 59.437008], ""type"": ""Point""}","Narva mnt, Südalinn, Kesklinna linnaosa, Tallinn, Harju maakond, 10111, Estonia",highway,secondary
57,Orava,Orava,"['*...La compagnia ferrovia Edelaraudtee effettua servizi regionali dalla stazione di Tallinn a Tartu, Valga, Türi, Viljandi, Tapa, Narva, Orava, e Pärnu....']","Orava, Liiva, Nõmme linnaosa, Tallinn, Harju maakond, 11214, Estonia","{""coordinates"": [24.722515, 59.388268], ""type"": ""Point""}","Orava, Liiva, Nõmme linnaosa, Tallinn, Harju maakond, 11214, Estonia",highway,residential
75,Kotka,Kotka,"['*...Accanto ai gemellaggi, Tallinn ha stabilito anche relazioni di mutua amicizia con Portland (Stati Uniti) e Kotka (Finlandia)....']","Kotka, Lilleküla, Kristiine linnaosa, Tallinn, Harju maakond, 96007, Estonia","{""coordinates"": [24.728234, 59.422464], ""type"": ""Point""}","Kotka, Lilleküla, Kristiine linnaosa, Tallinn, Harju maakond, 96007, Estonia",highway,tertiary
